iter	Passed	Remaining
398	201386	50977
399	201833	50458
400	202252	49932
401	202720	49419
402	203194	48907
403	203676	48398
404	204120	47880
405	204573	47364
406	205029	46849
407	205622	46365
408	206155	45868
409	206652	45362
410	207131	44853
411	207575	44336
412	207998	43815
413	208462	43303
414	208914	42789
415	209383	42279
416	209808	41760
417	210313	41257
418	210830	40757
419	211375	40261
420	211912	39765
421	212462	39270
422	213033	38779
423	213598	38286
424	214139	37789
425	214667	37289
426	215213	36793
427	215765	36296
428	216274	35793
429	216802	35293
430	217297	34787
431	217855	34292
432	218447	33801
433	219049	33311
434	219622	32817
435	220130	32312
436	220721	31820
437	221219	31314
438	221673	30802
439	222103	30286
440	222538	29772
441	222991	29261
442	223457	28751
443	223903	28240
444	224383	27732
445	224855	27224
446	225311	26714
447	225839	26213
448	226299	25704
449	226782	25198
450	227234	24688
451	227659	24176
452	228102	23666
453	228606	23162
454	229057	22654
455	229520	22146
456	229940	21635
457	230364	21125
458	230778	20614
459	231198	20104
460	231630	19595
461	232141	19093
462	232605	18588
463	233082	18084
464	233567	17580
465	234089	17079
466	234590	16577
467	234645	16044
468	235106	15540
469	235591	15037
470	236011	14531
471	236451	14026
472	236930	13524
473	237346	13019
474	237793	12515
475	238217	12010
476	238637	11506
477	239195	11008
478	239725	10509
479	240261	10010
480	240726	9508
481	241206	9007
482	241730	8508
483	242208	8006
484	242661	7504
485	243105	7003
486	243577	6502
487	244084	6002
488	244577	5501
489	245056	5001
490	245519	4500
491	245980	3999
492	246473	3499
493	247012	3000
494	247585	2500
495	248047	2000
496	248526	1500
497	249064	1000
498	249498	499
499	249946	0
