iter	Passed	Remaining
398	169400	42880
399	169811	42452
400	170216	42023
401	170628	41595
402	171039	41168
403	171450	40740
404	171856	40312
405	172267	39884
406	172677	39456
407	173083	39028
408	173495	38601
409	173913	38176
410	174315	37747
411	174723	37319
412	175127	36891
413	175535	36463
414	175960	36040
415	176401	35619
416	176838	35198
417	177290	34779
418	177692	34351
419	178104	33924
420	178515	33498
421	178925	33071
422	179330	32644
423	179733	32216
424	180158	31792
425	180559	31364
426	180974	30939
427	181377	30512
428	181785	30085
429	182193	29659
430	182607	29234
431	183015	28807
432	183426	28382
433	183853	27959
434	184256	27532
435	184669	27107
436	185082	26682
437	185518	26260
438	185933	25835
439	186345	25410
440	186750	24984
441	187162	24559
442	187569	24134
443	187967	23707
444	188376	23282
445	188785	22857
446	189212	22434
447	189620	22009
448	190033	21585
449	190448	21160
450	190865	20737
451	191293	20314
452	191740	19893
453	192219	19475
454	192794	19067
455	193287	18650
456	193704	18226
457	194116	17801
458	194526	17375
459	194924	16949
460	195331	16524
461	195736	16099
462	196157	15675
463	196568	15251
464	196970	14825
465	197382	14401
466	197809	13977
467	197855	13528
468	198264	13104
469	198674	12681
470	199080	12257
471	199491	11834
472	199900	11410
473	200321	10988
474	200736	10565
475	201147	10141
476	201558	9718
477	201967	9295
478	202370	8872
479	202781	8449
480	203191	8026
481	203590	7602
482	204003	7180
483	204415	6757
484	204833	6335
485	205246	5912
486	205657	5489
487	206068	5067
488	206473	4644
489	206889	4222
490	207291	3799
491	207692	3377
492	208105	2954
493	208517	2532
494	208916	2110
495	209330	1688
496	209738	1266
497	210150	843
498	210568	421
499	210981	0
